date,spx_tr,tsy_3m,margin_rate,cpi
1952-10-16,2.724551433,0.03,0.034,26.7000
1952-10-17,2.757597122,0.03,0.034,26.7000
1952-10-20,2.749620419,0.03,0.034,26.7000
1952-10-21,2.742783462,0.03,0.034,26.7000
1952-10-22,2.712016832,0.03,0.034,26.7000
1952-10-23,2.719993535,0.03,0.034,26.7000
1952-10-24,2.738225564,0.03,0.034,26.7000
1952-10-27,2.74506252,0.03,0.034,26.7000
1952-10-28,2.749620419,0.03,0.034,26.7000
1952-10-29,2.751899477,0.03,0.034,26.7000
1952-10-30,2.751899477,0.03,0.034,26.7000
1952-10-31,2.79406118,0.03,0.034,26.7000
1952-11-03,2.81859598,0.03,0.034,26.7000
1952-11-05,2.82661634,0.03,0.034,26.7000
1952-11-06,2.83807409,0.03,0.034,26.7000
1952-11-07,2.839219887,0.03,0.034,26.7000
1952-11-10,2.83807409,0.03,0.034,26.7000
1952-11-12,2.824324746,0.03,0.034,26.7000
1952-11-13,2.831199309,0.03,0.034,26.7000
1952-11-14,2.835782497,0.03,0.034,26.7000
1952-11-17,2.841511263,0.03,0.034,26.7000
1952-11-18,2.882759078,0.03,0.034,26.7000
1952-11-19,2.902237189,0.03,0.034,26.7000
1952-11-20,2.896508423,0.03,0.034,26.7000
1952-11-21,2.895362626,0.03,0.034,26.7000
1952-11-24,2.912549143,0.03,0.034,26.7000
1952-11-25,2.90567458,0.03,0.034,26.7000
1952-11-26,2.924006893,0.03,0.034,26.7000
1952-11-28,2.940047613,0.03,0.034,26.7000
1952-12-01,2.957812123,0.03,0.034,26.7000
1952-12-02,2.964722837,0.03,0.034,26.7000
1952-12-03,2.96126737,0.03,0.034,26.7000
1952-12-04,2.949749586,0.03,0.034,26.7000
1952-12-05,2.950901408,0.03,0.034,26.7000
1952-12-08,2.967026482,0.03,0.034,26.7000
1952-12-09,2.986607022,0.03,0.034,26.7000
1952-12-10,2.992365914,0.03,0.034,26.7000
1952-12-11,2.99006227,0.03,0.034,26.7000
1952-12-12,2.999276848,0.03,0.034,26.7000
